"Index" "EU_CPI" "EU_CPI_CORE" "EU_CPI2" "EU_CPI2_CORE" "EU_CPI_FOOD_BEVERAGES" "EU_CPI_HOUSING" "EU_CPI_TRANSPORT" "EU_CPI_MED_CARE" "EU_CPI_GOODS_SERVICES"
"2013-02-28" "2013-02-28" 99.27 98.04 99.26 97.91 98.57 99.69 103.35 97.91 98.17
"2013-03-31" "2013-03-31" 99.35 98.14 99.32 98.25 98.78 99.67 102.67 98.01 98.2
"2013-04-30" "2013-04-30" 99.32 98.23 99.35 98.23 99.14 99.47 102.15 97.99 98.28
"2013-05-31" "2013-05-31" 99.37 98.34 99.39 98.37 99.66 99.48 101.74 98.14 98.39
"2013-06-30" "2013-06-30" 99.51 98.39 99.54 98.42 100.06 99.62 101.82 98.16 98.37
"2013-07-31" "2013-07-31" 99.62 98.45 99.63 98.44 100.09 99.94 102.15 98.17 98.4
"2013-08-31" "2013-08-31" 99.68 98.5 99.68 98.39 100.03 100.22 102.69 98.18 98.51
"2013-09-30" "2013-09-30" 99.78 98.6 99.74 98.59 99.59 100.31 102.79 98.27 98.62
"2013-10-31" "2013-10-31" 99.63 98.63 99.62 98.6 99.33 100.2 102.39 98.4 98.56
"2013-11-30" "2013-11-30" 99.77 98.74 99.77 98.74 99.3 100.28 102.4 98.58 98.63
"2013-12-31" "2013-12-31" 99.91 98.73 99.91 98.73 99.84 100.52 103.05 98.7 98.65
"2014-01-31" "2014-01-31" 99.96 98.85 99.97 98.86 99.78 100.5 102.89 98.7 98.77
"2014-02-28" "2014-02-28" 99.99 98.92 100 98.91 99.54 100.71 102.94 98.75 98.85
"2014-03-31" "2014-03-31" 99.95 99.02 99.97 99.09 99.34 100.69 102.45 98.91 98.91
"2014-04-30" "2014-04-30" 99.96 99.03 99.96 99.07 99.19 100.75 102.54 99.04 98.99
"2014-05-31" "2014-05-31" 99.86 99.02 99.88 99.03 99.05 100.81 102.44 99.1 99.04
"2014-06-30" "2014-06-30" 99.99 99.15 99.97 99.17 99.05 100.81 102.78 99.15 99.17
"2014-07-31" "2014-07-31" 99.97 99.17 99.96 99.17 99.1 100.72 102.8 99.29 99.23
"2014-08-31" "2014-08-31" 100.02 99.28 100.01 99.26 99.11 100.81 102.91 99.4 99.25
"2014-09-30" "2014-09-30" 100.09 99.32 100.06 99.32 99.34 100.84 102.75 99.37 99.31
"2014-10-31" "2014-10-31" 100 99.34 99.98 99.31 99.36 100.75 102.4 99.4 99.34
"2014-11-30" "2014-11-30" 100.04 99.43 100.05 99.41 99.32 100.79 101.81 99.55 99.37
"2014-12-31" "2014-12-31" 99.73 99.53 99.74 99.49 99.27 100.36 100.55 99.62 99.49
"2015-01-31" "2015-01-31" 99.39 99.54 99.41 99.5 99.25 99.82 98.59 99.77 99.52
"2015-02-28" "2015-02-28" 99.72 99.67 99.75 99.66 99.6 100.08 99.7 99.87 99.63
"2015-03-31" "2015-03-31" 99.87 99.68 99.89 99.67 99.63 100.17 100.55 99.87 99.78
"2015-04-30" "2015-04-30" 100.02 99.79 100.03 99.78 99.83 100.18 100.61 99.86 99.86
"2015-05-31" "2015-05-31" 100.2 99.91 100.19 99.93 99.95 100.3 101.36 99.96 99.98
"2015-06-30" "2015-06-30" 100.19 99.94 100.16 99.94 99.94 100.32 101.34 99.97 99.94
"2015-07-31" "2015-07-31" 100.18 100.05 100.16 100.06 99.62 100.19 101.23 99.85 99.97
"2015-08-31" "2015-08-31" 100.14 100.12 100.12 100.14 100.09 99.96 100.3 100.03 100.08
"2015-09-30" "2015-09-30" 100.01 100.17 100.02 100.18 100.45 99.86 99.17 100.1 100.15
"2015-10-31" "2015-10-31" 100.13 100.31 100.11 100.37 100.76 99.74 99.12 100.18 100.27
"2015-11-30" "2015-11-30" 100.19 100.35 100.2 100.36 100.61 99.86 99.25 100.21 100.34
"2015-12-31" "2015-12-31" 99.94 100.38 99.95 100.39 100.25 99.49 98.72 100.4 100.41
"2016-01-31" "2016-01-31" 99.72 100.49 99.74 100.49 99.99 98.65 97.59 100.41 100.54
"2016-02-29" "2016-02-29" 99.56 100.54 99.57 100.55 99.91 98.51 97.08 100.57 100.63
"2016-03-31" "2016-03-31" 99.81 100.62 99.81 100.67 100.19 98.74 97.34 100.64 100.66
"2016-04-30" "2016-04-30" 99.83 100.66 99.85 100.59 100.48 98.44 97.54 100.71 100.74
"2016-05-31" "2016-05-31" 100.09 100.76 100.08 100.78 100.58 98.76 98.3 100.76 100.81
"2016-06-30" "2016-06-30" 100.26 100.8 100.24 100.78 100.59 99.09 99.21 100.85 100.93
"2016-07-31" "2016-07-31" 100.34 100.88 100.33 100.88 100.93 99.12 98.92 100.88 101.09
"2016-08-31" "2016-08-31" 100.37 100.94 100.37 100.92 101.23 99.12 98.65 100.87 101.13
"2016-09-30" "2016-09-30" 100.45 101.03 100.47 101 100.86 99.31 99.2 100.98 101.19
"2016-10-31" "2016-10-31" 100.65 101.14 100.65 101.14 100.74 99.61 100.01 101.04 101.32
"2016-11-30" "2016-11-30" 100.75 101.21 100.77 101.18 101.04 99.73 99.9 101.12 101.4
"2016-12-31" "2016-12-31" 101.06 101.32 101.06 101.29 101.4 100.2 100.97 101.22 101.48
"2017-01-31" "2017-01-31" 101.47 101.39 101.46 101.4 101.82 100.69 101.87 101.31 101.18
"2017-02-28" "2017-02-28" 101.52 101.45 101.5 101.45 102.61 100.64 102.28 101.45 101.38
"2017-03-31" "2017-03-31" 101.45 101.58 101.47 101.54 101.99 100.59 101.83 101.59 101.48
"2017-04-30" "2017-04-30" 101.61 101.67 101.58 101.68 101.69 100.82 101.98 101.69 101.55
"2017-05-31" "2017-05-31" 101.49 101.73 101.5 101.73 101.95 100.74 100.99 101.79 101.66
"2017-06-30" "2017-06-30" 101.53 101.85 101.54 101.91 101.86 100.71 100.84 101.94 101.77
"2017-07-31" "2017-07-31" 101.66 101.93 101.67 102.01 102.11 100.74 100.83 101.88 101.89
"2017-08-31" "2017-08-31" 101.87 102.02 101.88 102.08 102.49 100.95 101.62 101.88 101.88
"2017-09-30" "2017-09-30" 102.01 102.09 102.02 102.11 102.67 101.06 102.02 102.01 101.92
"2017-10-31" "2017-10-31" 102.05 102.13 102.08 102.07 103.14 101.25 102.12 102.08 101.84
"2017-11-30" "2017-11-30" 102.3 102.22 102.31 102.15 103.2 101.63 102.86 102.18 101.91
"2017-12-31" "2017-12-31" 102.41 102.3 102.4 102.25 103.34 101.72 103.26 102.28 102.02
"2018-01-31" "2018-01-31" 102.8 102.39 102.77 102.41 103.55 102.2 103.59 102.3 102.37
"2018-02-28" "2018-02-28" 102.66 102.47 102.61 102.5 103.19 102.34 103.81 102.3 102.58
"2018-03-31" "2018-03-31" 102.71 102.5 102.7 102.45 103.42 102.19 103.31 102.35 102.76
"2018-04-30" "2018-04-30" 102.97 102.62 102.96 102.57 103.65 102.19 103.78 102.48 102.89
